	小号来了，我这嗓子还没恢复，周日周一喊哑了。声音小吗？
	声音。
	全怎么办？
	疲惫。
	是吗？你也哑了是吗？
	你为什么哑了？德克兰能听到是吧？好啊。
	巴伐利亚，巴西利亚正常，可以，巴西利亚别轻易。
	去去理发馆理发。
	格陵兰正常，艾泽拉斯正常OK好啊。
	我想你霍尔木兹。
	能听到，可以，咱家真有大连海事，还有那个上，还有是中远吗？叫什么？真有啊？晚上好晚上好，晚上好啊，今天开的早。
	很多朋友可能不知道。
	暴风能正常，哥们你怎么回城了啊？青岛远洋不错。
	湘。
	女镇长可以，要。
	早睡吗？
	趁他们不在，赶紧讲好。
	开开始开始。来不至于。
	哥们儿不至于就是说刚才我扒门缝看啊，我刚才扒门缝看了，有一哥们说的特别对。
	说两点。
	半跟三点其实区别不大。
	本来说实话。
	就昨天晚上这个噩耗，确实是这个心情还是非常沉痛。所以今天实际上把时间放在七点半，其实七点半跟八点，或者说两点半跟三点区别不大。但是我还是想传递一个信号，就是说咱们大家。都尽量不。
	熬夜，但是。
	我无所谓，因为我这么多年就这工作习惯。但是咱家很多朋友因为要上班，所以说我是真的再次提醒各位，如果说您的生物钟跟我不一样，或者说您第二天要上班，或者您身体确实是扛不了，咱们争取每次直播的正题在12点之前结束。所以你们要是困了睡觉就下。但是全网就互联网时代，它是一个7乘24小时的一个东西。
	就是说每个人。
	不能拿自己的时间去卡别人的时间。就比如你什么时候你打开B站或者打开小抖，都有人在直播。所以就是不同的直播时间对应的是不同的人群。所以说我今天把时间定在七点半开，就是想告诉大家一件事情，就是说咱们争取尽量以后在12点之前把正事儿聊完。因为说实话身体健康肯定还是。
	很重要的。
	但是我还有一点要讲，就是你们不要管我，我每天还是大概三点钟四点钟睡，这是我做多年的习惯。所以但是各位来讲，你们真的不要熬，咱家之前也说了很多次，不要熬，没有必要股票不差这一两个小时，每个人生活习惯是不一样的。就管我是吗？然后我刚才看一哥们儿，你哥们儿。
	说我班。
	门缝吗？42岁网红，事业有成，喜欢跑步，有一个。
	女儿。
	我43岁. 
	我喜欢。
	踢球。
	我不是网红。
	我是干投资的。而且我不光。
	有一个女儿。
	她就是。本来其实我知道那哥们儿在开玩笑，就说昨天晚上收到这个看到这个消息真的是确实是非常的难受。
	非常。
	难受。就是说很多很多朋友后台给我发消息，非常感谢，很多人说第一时间就想到了你。
	这个。
	就是说。
	这确实。
	惺惺相惜。
	就真的确实是惺惺相惜。然后就是我经常说人生无常，莫名其妙人生无常。
	所以说。
	咱们大家一定要善待自己。当然了包括我看很多整个今天社会上什么今天各各大医院心内科什么的都爆满，都是很多人就去查心脏。我觉得每一件事情的发生，如果能够带来一些比较积极的影响的话，那一定是一件正面的事情。如果说因为张先生他的非常遗憾的离开，能够给整个社会也引起关注。我觉得大家就正好就要借此机会去关更加关注自己的健康。
	然后今包括今天早点开，刚才有朋友刚进来，今天早点开的目的也是想传递一个信号，就是说咱家我的习惯是大概工作到34点，然后第二天大概是90点钟起，如果不赶早班机的话，基本上就是90点起，大概是6个小时，6到7个小时。这是我常年的习惯，所以你们不要因为我的这个习惯，尤其我后半夜越聊越兴，对吧？然后就舍不得下，别该下下。我以后尽量把所有的重要的事情放在12点前聊完，比如哥们儿是这样，就是说我几点开和我几点下。咱们客观说大家都是成年人，这是我的自由，对不对？就是你你这个包括你这个你看看个球，你你做个你你你你干个什么事情，你不能要求别人为你的时间调整。所以说我主要今天想传递的意思是什么呢？
	是所有不能熬夜的，就比如说在你们看来，你们觉得12点到2点这个是熬夜，我认为**这是我最兴奋的人我认为每天从晚上十点钟才开始，所以就是人跟人不同，所以说如果您跟我的时间状态差不多，那咱们就看着后面顺其自然，就是寥寥的1点2点无所谓，看看景去了。说如果您要是第二天上班或者身体确实不好，不能熬12点下，准时下。没关系，不差这点时间。
	这是第一点。
	就是说咱们要通过张雪峰先生的这个不幸的离开，我们要对自己的身体健康更加重视。我觉得这是一个积对社会来讲绝对是个积极的事情。
	第二点。
	我想说的是，确实整个就是你其实如果咱们常年做股票的话，可以看到现在整个那么就今天社会的反响，就是雪峰老师这个事的反响。因为又可以看到群体总是过度的去去去情绪化某些事情，包括很多人就认为晚点睡就一定引起这个，或者认为跑个步就不是这样的。常年的积劳成疾，以及在你常年睡眠不足的情况下，如果是剧烈运动，就算是他打篮球或者是打羽毛球，心率一直保持在160以上的话，实际上也是非常危险的。所以我们大家要要真的要意识到的是，不要常年的积劳成疾，不要常年的去缺乏睡眠的情况下，又要从事剧烈的运动，这个是最重要的。
	所以包括这件事儿，我有时候也在想，我有时候是周一下午，一般像以前也是直完播，周一下午跑个五公里什么的这种东西。有时候我那个心率是151，150到160。所以我觉得比如对于中年人来讲，这是一个非常好的一个提醒。但是大家也不要过于恐慌和焦虑，对吧？你这个人跟人是不一样的。所以说我这第二点就想说，大家一定要还是放平心态，就是别过度的焦虑。然后第三点我特别想说的一点是什么？我每天跑10公里什么水平？
	那你年轻。然后第三个。
	我特别想通过雪峰老师这件事儿想跟大家说的是什么？就是说。我刚才开头说就是跟他确实是虽然没有见过，但是确实是惺惺相惜。因为他在干着他非常热爱的事情，然后他也是每天都在一线接触到大量的普通人。然后他我看他那个视频，他说这个他为什么为什么什么他说他希望他有一天没了以后，然后什么能上热搜，大家去想起他。然后后面他说这些东西真不是为了钱了，就是想能帮一个是一个。他虽然没有说了find share，但是我完全能懂得这句话。
	就是雪峰老师早就不缺钱了，他那公司因为投资圈基本都了解。就在整个的这个培训的，你就把它理解为说在考研的这条赛道或者高考这条赛道，它就相当于是英语里边的新东方。他的这个买卖已经是足够牛逼了。对他来讲，他他就是他早就应该退居幕后。但是他为什么还在。
	一线去几乎。
	每晚直播，或者是这个陆客7788的事情，一方面是他的生意需要，就是他盘子太大对吧？另外一方面这绝对是热爱，这真的是一定是热爱。所以这句话就是我我想第三点跟大家说，为什么跟他星惺惺相惜呢？就在于这东西如果不是特别热爱，就就喜欢这玩意儿，**就真的是开心。能够通过帮助别人，或者说通过一个正反馈，然后能让自己在精神上获得一个特别大的满足和成就感，我完全能理解。
	所以我说昨天晚上我看到这个消息之后，我我当时我当时的这种感觉已经第三次了。第一次是科比，然后第二次是北京首钢的吉喆。可能你们其他城市的朋友不知道，北京首钢蓝图，以前马不起队友，我们一起四年三冠，吉喆特别好，一孩子在北京队特别努力，突然间就没了，突然间就没了。然后雪峰老师这个是第三次，但是前两个跟我没什么关系，就是年纪也不一样，行业也不一样，然后做的事情也不同。但是雪峰老师的这件事情，确实刚才那哥们儿一开始有人玩梗也好，或者开玩笑也好，我觉得真的42，然后也做了一摊事情，也财务自由了。然后也有只有一个女儿也特别爱跑步，就是也爱运动，所以难免会会更惺惺相惜一些。对我但是我43，我四十三。所以就是我第三点想表达的就是我我我真的能理解他为什么那么努力。
	但是我有一点我不如他，就是我虽然很努力，但是我没有他努力。就比如说这个世界上有很多种赚钱方式，以前任泽平说的对吧？就是辛苦不赚钱，辛苦赚钱，赚钱不辛苦，然后还有什么来的什么什么，还要赚辛苦钱，就是说有很好几种生意的模式。那对于我来讲的话，我觉得我肯定没有他勤奋。比如说他把他的生意要生意做的这么大，他有上千名员工是吧？我没有，我这78加起来可能只有三四十个。他把买卖做向更大的人群，包括自己也是上各种的节目，然后天天的录各种的视频，天天直播，我也没太努力。
	所以说我想说。
	的是这个。但有时候如果一个人这么去努力的话，还发生这样的事情真的非常遗憾。就是过了40岁之后，真的要相信有命，但是我这确实我没他努力。然后第四点是我想聊的一个就是针对于咱家朋友啊。对，就整个这一段不要今天是二楼对吧？就不要不要去录屏。
	也不要去断章取义。
	第四点我想说的是。有些东西真的是冥冥之中，我以前老跟你们说，我说你们想要什么就去追求什么，对吧？向宇宙发出自己的呐喊跟呼喊。哥们儿这玩意儿再论的，就这玩意儿是在论的，特别是谶语，千万负面的谶语，千万不要不要。
	不断的给。
	自己有暗示。就比如说你看他的那个。
	微博。
	上面我也搜来的，就真的太遗憾了。
	就是在18年4月27号，对吧？如果有一天让我选那种死法，我最希望的是猝死。如果让我定个时间，我希望是不久的将来。
	包括猝死这个关键词，在在在微博在他的微博里面有五条，然后采访的时候也有两条采访在说这种。
	这类的事情。
